Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1             Pavarde1            9         7         8         8         3         8         4         6         3         2         2         7         4         5         4         7         
Vardas2             Pavarde2            4         4         5         4         8         4         7         2         5         10        6         1         7         4         1         9         
Vardas3             Pavarde3            3         4         6         4         8         10        3         4         6         10        3         1         5         7         2         1         
Vardas4             Pavarde4            5         6         7         1         6         5         7         9         10        2         8         9         8         4         5         8         
Vardas5             Pavarde5            1         10        6         1         2         10        4         10        10        2         10        10        9         4         10        6         
Vardas6             Pavarde6            9         7         10        5         1         9         6         1         3         3         9         9         3         3         7         3         
Vardas7             Pavarde7            4         4         6         3         2         9         6         8         9         1         2         1         10        7         1         5         
Vardas8             Pavarde8            9         5         1         8         10        9         4         3         8         10        3         9         3         3         5         7         
Vardas9             Pavarde9            5         9         2         5         8         10        7         8         9         6         1         9         4         6         4         7         
Vardas10            Pavarde10           8         5         4         7         10        9         8         3         4         6         4         7         2         7         1         8         
Vardas11            Pavarde11           8         9         2         2         5         8         1         6         9         3         8         3         4         5         9         3         
Vardas12            Pavarde12           1         3         5         7         3         10        2         8         5         2         8         6         10        5         3         7         
Vardas13            Pavarde13           2         1         6         2         1         7         7         9         3         4         2         4         5         9         3         10        
Vardas14            Pavarde14           1         8         10        5         9         10        9         10        4         5         10        9         3         3         8         7         
Vardas15            Pavarde15           4         3         9         2         2         10        3         3         6         7         8         1         6         9         3         9         
Vardas16            Pavarde16           10        4         3         4         4         2         3         3         8         6         9         2         10        3         8         8         
Vardas17            Pavarde17           8         6         1         1         7         10        1         6         1         4         7         7         6         10        2         8         
Vardas18            Pavarde18           6         3         1         10        9         9         5         8         1         5         4         9         1         7         9         7         
Vardas19            Pavarde19           2         7         8         2         1         3         8         10        4         1         3         3         4         10        2         1         
Vardas20            Pavarde20           5         6         6         6         8         2         8         9         10        5         1         3         4         2         6         6         
Vardas21            Pavarde21           6         7         7         2         1         2         9         1         9         9         3         7         8         3         7         6         
Vardas22            Pavarde22           1         2         10        7         8         6         6         1         9         10        9         2         8         3         7         3         
Vardas23            Pavarde23           8         3         4         7         7         5         7         9         9         9         9         1         6         6         10        3         
Vardas24            Pavarde24           9         7         5         8         4         1         5         2         9         10        4         10        10        4         5         3         
Vardas25            Pavarde25           6         1         5         9         2         8         3         9         4         4         9         10        5         4         9         9         
Vardas26            Pavarde26           4         9         2         5         6         7         10        9         8         5         3         9         6         10        4         4         
Vardas27            Pavarde27           10        2         10        10        7         3         1         10        2         4         3         8         2         10        2         8         
Vardas28            Pavarde28           10        4         2         5         7         2         5         8         8         5         4         1         6         9         2         2         
Vardas29            Pavarde29           2         8         6         10        5         9         3         7         6         7         2         7         4         7         10        8         
Vardas30            Pavarde30           1         4         5         5         4         1         6         6         1         9         8         1         3         1         4         10        
Vardas31            Pavarde31           7         5         1         10        5         8         5         7         8         9         1         5         3         4         9         1         
Vardas32            Pavarde32           5         8         8         2         4         10        9         4         3         5         7         6         9         10        5         4         
Vardas33            Pavarde33           9         6         4         5         1         4         10        5         5         1         1         10        4         7         2         1         
Vardas34            Pavarde34           10        2         6         3         4         7         9         8         9         7         10        5         5         7         3         10        
Vardas35            Pavarde35           9         3         1         3         1         7         8         1         10        8         3         1         6         5         2         9         
Vardas36            Pavarde36           8         2         6         6         6         7         4         8         2         1         1         6         7         9         3         1         
Vardas37            Pavarde37           2         1         6         7         10        7         2         8         5         10        1         10        5         5         6         2         
Vardas38            Pavarde38           8         7         3         2         8         5         3         6         9         5         3         9         2         6         10        9         
Vardas39            Pavarde39           1         4         2         10        7         8         1         1         2         9         7         3         10        2         10        6         
Vardas40            Pavarde40           1         9         8         7         5         3         7         10        5         3         9         7         2         2         2         1         
Vardas41            Pavarde41           10        4         7         7         4         4         2         9         5         7         5         9         8         8         4         2         
Vardas42            Pavarde42           1         1         5         1         10        6         6         1         2         8         9         8         7         1         9         8         
Vardas43            Pavarde43           5         1         9         3         5         2         4         7         9         10        6         4         1         6         1         6         
Vardas44            Pavarde44           5         3         2         1         1         10        1         8         9         3         1         4         3         9         6         4         
Vardas45            Pavarde45           8         2         7         4         6         5         1         5         8         6         2         10        8         4         6         10        
Vardas46            Pavarde46           3         6         10        6         3         5         9         6         8         3         6         7         5         3         1         8         
Vardas47            Pavarde47           9         1         4         5         4         9         10        3         7         4         2         9         2         10        8         1         
Vardas48            Pavarde48           5         4         4         1         9         3         4         9         3         1         10        9         6         1         4         6         
Vardas49            Pavarde49           7         5         3         6         3         3         4         9         5         7         7         10        7         10        10        6         
Vardas50            Pavarde50           3         7         5         7         3         1         8         3         9         2         7         2         9         3         10        7         
Vardas51            Pavarde51           1         7         1         8         8         3         8         9         3         3         6         6         10        2         1         4         
Vardas52            Pavarde52           3         6         5         5         3         2         8         4         6         4         10        8         8         1         3         6         
Vardas53            Pavarde53           6         3         1         6         1         7         1         6         2         2         3         10        7         9         9         6         
Vardas54            Pavarde54           8         1         3         1         8         10        2         10        9         9         3         7         8         3         1         7         
Vardas55            Pavarde55           10        9         6         2         4         8         4         6         4         10        4         9         6         7         3         6         
Vardas56            Pavarde56           1         6         3         8         10        10        3         6         1         5         4         9         9         8         2         9         
Vardas57            Pavarde57           10        2         2         3         3         10        10        4         1         7         6         4         1         7         7         10        
Vardas58            Pavarde58           2         3         9         1         4         6         10        3         9         3         6         9         9         2         4         2         
Vardas59            Pavarde59           5         7         7         8         3         6         6         1         6         3         2         1         1         9         8         7         
Vardas60            Pavarde60           2         5         1         7         7         2         10        2         10        4         1         5         10        4         1         10        
Vardas61            Pavarde61           8         6         2         6         1         1         8         9         8         2         3         7         1         4         7         2         
Vardas62            Pavarde62           10        1         10        8         2         5         6         7         4         8         6         6         4         5         8         3         
Vardas63            Pavarde63           10        8         5         10        3         7         5         6         9         8         4         5         1         8         4         10        
Vardas64            Pavarde64           5         1         9         1         1         7         8         3         2         3         9         9         2         2         7         9         
Vardas65            Pavarde65           4         8         3         5         10        8         7         7         1         1         5         4         3         9         7         5         
Vardas66            Pavarde66           5         7         7         10        10        5         6         7         5         4         8         3         4         5         8         7         
Vardas67            Pavarde67           7         3         7         4         10        10        2         1         10        10        5         6         7         9         6         5         
Vardas68            Pavarde68           3         1         3         8         2         1         5         10        10        5         5         3         10        10        5         1         
Vardas69            Pavarde69           8         1         1         5         1         8         3         1         3         4         4         4         7         4         4         7         
Vardas70            Pavarde70           4         4         10        5         2         9         6         9         1         4         10        8         10        4         3         10        
Vardas71            Pavarde71           8         6         2         6         5         10        5         6         5         9         10        10        10        6         8         5         
Vardas72            Pavarde72           4         6         1         9         4         10        2         6         1         2         3         7         7         10        8         1         
Vardas73            Pavarde73           7         6         3         2         5         6         7         5         5         10        8         9         9         7         10        7         
Vardas74            Pavarde74           1         5         2         2         10        10        6         5         10        8         7         9         2         9         7         7         
Vardas75            Pavarde75           2         8         8         3         8         7         1         8         7         10        9         6         1         8         10        9         
Vardas76            Pavarde76           3         6         2         10        7         7         6         2         1         3         2         5         2         6         8         3         
Vardas77            Pavarde77           5         1         1         9         1         6         8         3         3         6         2         10        8         3         8         3         
Vardas78            Pavarde78           6         9         1         4         10        2         1         7         2         7         1         9         10        5         2         7         
Vardas79            Pavarde79           10        3         1         2         7         6         9         10        10        5         4         8         4         2         8         3         
Vardas80            Pavarde80           5         8         5         6         9         1         1         2         3         6         3         8         7         9         10        4         
Vardas81            Pavarde81           2         8         1         4         2         5         7         8         6         4         8         9         9         10        9         3         
Vardas82            Pavarde82           6         1         6         9         5         3         1         1         2         6         7         1         10        9         4         9         
Vardas83            Pavarde83           6         6         3         9         4         10        10        5         9         6         3         6         1         8         3         10        
Vardas84            Pavarde84           2         7         5         2         1         6         10        7         8         10        3         4         2         6         6         8         
Vardas85            Pavarde85           5         6         5         4         9         1         5         6         9         9         5         4         9         3         6         10        
Vardas86            Pavarde86           9         4         10        7         9         5         8         8         2         6         3         7         6         3         5         10        
Vardas87            Pavarde87           1         6         4         9         5         8         8         10        3         3         2         6         5         2         3         1         
Vardas88            Pavarde88           1         7         10        2         10        2         7         10        9         3         1         10        7         1         2         4         
Vardas89            Pavarde89           10        5         5         6         5         2         1         10        4         1         1         3         7         1         1         7         
Vardas90            Pavarde90           6         9         2         2         3         4         3         4         7         8         6         9         9         5         8         8         
Vardas91            Pavarde91           5         3         9         4         8         8         3         6         6         2         6         10        2         4         3         8         
Vardas92            Pavarde92           3         5         4         8         5         6         1         7         3         7         1         10        10        10        2         7         
Vardas93            Pavarde93           2         3         9         10        8         8         3         8         4         3         5         1         8         5         6         10        
Vardas94            Pavarde94           9         5         10        8         6         7         2         10        8         9         9         2         4         1         6         6         
Vardas95            Pavarde95           10        6         10        10        1         8         5         7         1         10        6         1         3         1         1         8         
Vardas96            Pavarde96           4         3         6         2         2         10        6         5         4         10        5         8         1         8         4         2         
